settings_alarm_type,type,type of alarm,alarm style,style of alarm,,,
settings_alarm_repeat,repeat,repetition,frequency,,,,
settings_alarm_snooze,snooze,snooze time,break time,grace period,,,
settings_common_description,description,description,summary,body text,,,
settings_common_time_start,time_start,starting time,time start,begin time,beginning time,,
settings_common_title,title,title,,,,,
settings_common_time_end,time_end,stop time,time finished,finished,time end,time ended,
settings_common_priority,priority,importance,severity,,,,
settings_event_calendar_type,calendar_type,calendar type,type of calendar,specific calendar,,,
settings_event_duration,duration,length of event,how long is the event,event is how long,event lasts,,
settings_event_location,location,location,geolocation,meeting place,place,,
settings_project_time_to_completion,time_to_completion,time to completion,time to complete,completion time,estimated time,total estimated time,total time of project
settings_project_calendar_sync,calendar_sync,sync to calendar,add projects to google calendar,sync projects and calendar,,,
settings_project_method,method,project method,methodology,project management style,project style,,
settings_project_personel,personel,project personel,list of people,list of personel on the project,people on the project,,